total_reward,negative_reward,trial_length
0.0,-2.0,26
3.0,-1.0,26
4.5,-1.5,41
8.5,-1.5,26
28.0,-2.0,22
24.5,-1.5,11
19.0,-1.0,7
12.0,0.0,36
26.5,-1.5,17
26.5,-3.5,26
21.0,-1.0,26
8.5,-1.5,21
26.0,0.0,17
22.0,0.0,12
21.0,-3.0,26
22.5,-1.5,28
15.5,-0.5,12
18.0,0.0,13
25.0,-1.0,21
36.5,-1.5,26
18.0,0.0,9
7.0,-1.0,31
25.5,-0.5,14
24.0,0.0,17
18.0,0.0,12
20.0,0.0,6
21.5,-0.5,11
20.0,-2.0,17
27.0,-1.0,18
20.0,0.0,6
16.0,0.0,4
24.0,0.0,12
11.5,-0.5,21
20.0,0.0,6
22.0,-2.0,26
23.0,-1.0,13
22.0,0.0,9
26.0,0.0,14
18.0,0.0,5
16.0,0.0,3
15.5,-0.5,4
28.5,-1.5,22
18.0,0.0,11
21.5,-0.5,17
24.0,0.0,17
27.0,-1.0,22
22.0,0.0,11
24.0,0.0,8
17.0,-1.0,7
23.5,-0.5,12
11.0,-1.0,21
27.0,-1.0,21
21.5,-0.5,17
37.5,-2.5,31
30.5,-1.5,14
21.5,-2.5,19
26.0,0.0,16
18.0,-2.0,14
27.0,-1.0,21
31.0,-1.0,22
24.5,-1.5,20
16.5,-1.5,9
33.5,-0.5,16
20.0,0.0,5
15.5,-0.5,14
23.0,-1.0,27
24.0,0.0,13
21.0,-1.0,26
26.0,-2.0,21
19.5,-0.5,9
28.0,0.0,25
17.0,-1.0,13
20.0,0.0,11
18.0,0.0,4
22.0,0.0,8
21.5,-0.5,9
22.0,0.0,16
22.0,-2.0,14
16.0,0.0,5
20.0,0.0,8
26.0,0.0,13
21.0,-1.0,12
25.0,-1.0,22
22.0,0.0,13
15.5,-0.5,9
24.0,0.0,8
23.5,-0.5,13
22.0,-2.0,16
21.5,-2.5,21
20.0,0.0,8
20.0,0.0,13
17.0,-1.0,9
22.0,0.0,13
22.0,0.0,8
23.0,-1.0,16
22.0,0.0,10
26.0,0.0,17
24.0,0.0,16
23.0,-1.0,10
29.0,-1.0,14
