total_reward,negative_reward,trial_length
0.0,-2.0,26
3.0,-1.0,26
4.5,-1.5,41
8.5,-1.5,26
28.0,-2.0,22
19.0,-1.0,9
17.5,-0.5,6
20.0,0.0,7
17.0,-1.0,9
20.0,0.0,16
20.5,-1.5,46
10.0,0.0,36
20.0,0.0,9
23.5,-0.5,16
22.0,0.0,10
18.0,0.0,6
22.0,0.0,10
22.0,0.0,9
26.0,-2.0,32
24.5,-1.5,10
19.0,-1.0,9
4.0,-2.0,36
19.5,-0.5,11
20.0,0.0,5
9.5,0.0,1
21.0,-1.0,20
28.0,0.0,18
19.5,-0.5,10
26.0,0.0,14
24.0,0.0,22
10.5,-1.5,5
18.5,-1.5,14
18.0,0.0,12
22.0,0.0,21
23.5,-0.5,14
4.0,0.0,21
23.5,-0.5,12
25.5,-0.5,11
37.0,-5.0,49
22.0,0.0,8
18.0,0.0,8
18.5,-1.5,13
24.0,0.0,13
21.5,-0.5,7
28.0,0.0,34
19.0,-1.0,9
24.0,0.0,16
15.5,-0.5,11
18.0,0.0,6
26.0,0.0,10
22.5,-1.5,13
24.0,0.0,15
19.5,-0.5,8
25.5,-0.5,13
30.0,0.0,26
18.0,0.0,4
18.0,0.0,8
22.5,-1.5,14
31.0,-1.0,34
19.5,-0.5,6
22.0,0.0,8
27.5,-0.5,21
18.5,-1.5,11
26.0,0.0,21
15.0,-1.0,36
22.0,0.0,17
20.0,0.0,5
2.5,-1.5,21
18.0,0.0,8
35.0,-1.0,29
31.0,-1.0,33
16.0,-2.0,16
21.5,-0.5,8
17.0,-1.0,12
23.5,-0.5,13
22.0,0.0,13
21.0,-1.0,21
25.0,-1.0,13
21.0,-1.0,11
21.5,-0.5,11
23.5,-0.5,12
28.0,0.0,13
22.0,0.0,11
20.0,0.0,8
22.0,0.0,10
23.5,-0.5,16
18.0,0.0,9
21.5,-0.5,11
21.5,-2.5,21
28.0,0.0,17
26.0,0.0,21
27.5,-0.5,15
25.5,-2.5,21
13.5,-0.5,3
18.0,0.0,7
20.0,0.0,15
22.0,0.0,11
21.0,-1.0,17
19.5,-0.5,21
31.5,-0.5,26
