total_reward,negative_reward,trial_length
0.0,-2.0,26
3.0,-1.0,26
4.5,-1.5,41
8.5,-1.5,26
28.0,-2.0,22
24.5,-1.5,11
19.0,-1.0,7
12.0,0.0,36
26.5,-1.5,17
14.0,-4.0,26
21.0,-1.0,26
28.5,-3.5,19
23.0,-1.0,9
74.5,-9.5,59
28.5,-1.5,13
36.5,-3.5,21
45.0,-5.0,30
30.0,-2.0,15
21.0,-1.0,8
20.0,0.0,5
20.5,-1.5,18
9.5,0.0,6
30.0,-2.0,14
50.5,-3.5,30
16.5,-3.5,18
30.0,0.0,13
12.0,-2.0,10
21.5,-0.5,16
30.5,-1.5,17
34.5,-1.5,18
26.5,-1.5,17
26.0,-2.0,16
26.5,-3.5,36
30.0,-2.0,22
18.5,-1.5,11
20.0,-2.0,15
17.5,-0.5,7
22.5,-1.5,36
27.0,-1.0,12
18.0,0.0,4
29.0,-1.0,12
29.0,-1.0,13
30.0,-2.0,18
25.0,-1.0,13
25.0,-1.0,20
7.5,-0.5,21
18.0,0.0,7
27.5,-0.5,16
22.0,0.0,9
20.5,-1.5,13
27.5,-2.5,22
30.5,-1.5,21
19.5,-0.5,10
46.0,-2.0,34
31.5,-0.5,20
21.0,-1.0,21
22.0,0.0,15
20.0,0.0,10
11.0,-3.0,26
20.0,0.0,10
29.5,-0.5,16
25.5,-0.5,10
20.0,0.0,8
15.5,-0.5,7
33.0,-3.0,19
25.0,-1.0,12
20.0,0.0,6
23.5,-0.5,9
28.0,0.0,21
18.0,0.0,8
30.0,-2.0,21
39.5,-2.5,33
38.5,-3.5,24
32.5,-1.5,16
25.5,-2.5,17
29.5,-0.5,11
15.5,-0.5,4
41.0,-3.0,26
31.5,-8.5,41
31.5,-4.5,21
18.0,-2.0,8
28.0,-2.0,16
34.5,-1.5,16
19.0,-1.0,7
28.5,-1.5,14
20.5,-1.5,8
11.5,-2.5,26
25.0,-3.0,16
23.5,-0.5,8
36.5,-3.5,31
24.0,-2.0,12
35.0,-1.0,15
15.5,-4.5,21
25.0,-3.0,16
19.0,-1.0,8
42.5,-1.5,22
38.0,-4.0,23
13.5,-0.5,4
17.5,-0.5,5
43.5,-2.5,24
