total_reward,negative_reward,trial_length
0.0,-2.0,26
3.0,-1.0,26
4.5,-1.5,41
8.5,-1.5,26
28.0,-2.0,22
24.5,-1.5,11
19.0,-1.0,7
12.0,0.0,36
26.5,-1.5,17
14.0,-4.0,26
25.5,-2.5,26
28.5,-3.5,19
23.0,-1.0,9
65.5,-10.5,61
44.0,-6.0,33
22.5,-1.5,9
21.0,-1.0,8
24.0,-2.0,15
9.5,0.0,1
28.0,-2.0,15
33.5,-2.5,19
25.5,-2.5,19
25.5,-0.5,9
21.5,-2.5,13
29.5,-2.5,16
39.0,-5.0,61
14.0,-2.0,11
19.5,-4.5,21
31.5,-4.5,31
26.0,-8.0,34
19.5,-4.5,18
25.0,-5.0,19
27.0,-7.0,31
23.0,-3.0,20
12.0,-6.0,26
16.5,-1.5,6
32.0,-4.0,24
23.5,-0.5,8
19.0,-1.0,7
21.5,-4.5,17
22.5,-3.5,21
30.0,-4.0,22
21.0,-1.0,7
19.5,-2.5,12
10.5,-7.5,26
44.0,-2.0,23
8.5,-1.5,21
25.5,-0.5,9
40.5,-1.5,19
39.5,-4.5,27
27.0,-9.0,36
21.0,-1.0,9
22.0,-2.0,15
32.0,-2.0,15
33.5,-4.5,25
34.0,-6.0,36
6.0,-16.0,41
17.5,-0.5,5
16.0,-2.0,21
25.5,-2.5,19
28.5,-1.5,19
9.5,0.0,5
34.0,-4.0,31
23.0,-5.0,31
21.0,-3.0,16
21.5,-4.5,22
13.5,-2.5,10
19.0,-3.0,21
21.0,-3.0,19
17.0,-5.0,31
51.5,-6.5,41
15.0,-1.0,5
55.0,-7.0,45
29.5,-2.5,16
28.5,-1.5,13
26.0,-2.0,16
21.5,-0.5,7
22.0,0.0,8
17.0,-1.0,5
41.5,-4.5,32
25.0,-5.0,31
20.0,-6.0,26
33.0,-5.0,25
19.0,-1.0,7
19.0,-1.0,7
23.5,-2.5,16
15.5,-0.5,5
24.0,0.0,8
27.5,-4.5,22
19.5,-2.5,15
18.0,-6.0,31
31.0,-9.0,51
12.5,-5.5,21
28.5,-1.5,18
27.0,-1.0,12
23.5,-0.5,12
15.0,-7.0,26
17.0,-5.0,21
11.5,-4.5,31
31.0,-3.0,19
